,Technology,Test_type,Data Speed(Mbps),Signal_strength
4627,3G,Download,2.2,-79
4628,3G,Download,3.16,-79
4632,3G,Download,3.42,-59
4633,3G,Download,1.4,-63
4636,3G,Download,1.72,-79
4639,3G,Download,3.3,-87
4642,3G,Download,3.52,-83
4647,3G,Download,3.27,-61
4649,3G,Download,1.11,-81
4650,3G,Download,9.24,-79
4653,3G,Download,0.92,-85
4659,3G,Download,1.88,-85
4660,3G,Download,3.2,-85
4665,3G,Download,1.02,-93
4666,3G,Download,6.38,na
4667,3G,Download,3.86,-71
4670,3G,Download,4.46,-89
4673,3G,Download,1.44,-103
4674,3G,Download,6.07,-73
4675,3G,Download,0.18,-69
4676,3G,Download,6.37,-69
4679,3G,Download,4.18,-59
4680,3G,Download,6.73,-69
4683,3G,Download,4.0,-65
4684,3G,Download,0.55,-87
4690,3G,Download,1.67,-73
4691,3G,Download,1.78,-73
4692,3G,Download,3.86,-91
4695,3G,Download,1.89,na
4696,3G,Download,1.65,-63
4697,3G,Download,1.51,-61
4700,3G,Download,3.67,na
4703,3G,Download,2.15,-83
4706,3G,Download,1.56,-65
4707,3G,Download,1.25,-75
4711,3G,Download,3.72,-79
4712,3G,Download,3.85,na
4713,3G,Download,1.62,na
4718,3G,Download,8.82,-61
4719,3G,Download,6.55,-77
4722,3G,Download,5.51,na
4727,3G,Download,5.5,-75
4728,3G,Download,1.31,-85
4734,3G,Download,6.96,-63
4735,3G,Download,2.23,-57
4739,3G,Download,3.13,-79
4741,3G,Download,2.07,-79
4742,3G,Download,5.09,-79
4746,3G,Download,1.75,na
4751,3G,Download,1.42,-71
4752,3G,Download,7.32,-57
4755,3G,Download,0.45,-71
4758,3G,Download,0.8,-89
4761,3G,Download,0.64,-75
4764,3G,Download,6.29,-59
4765,3G,Download,1.04,-59
4768,3G,Download,2.33,-73
4769,3G,Download,2.34,-71
4773,3G,Download,2.6,-89
4774,3G,Download,2.99,-89
4777,3G,Download,1.71,-93
4778,3G,Download,0.23,-87
4781,3G,Download,3.56,-83
4783,3G,Download,0.56,-89
4784,3G,Download,5.39,-77
4788,3G,Download,1.28,-77
4789,3G,Download,2.38,-81
4790,3G,Download,1.07,-69
4792,3G,Download,7.18,-65
4793,3G,Download,6.53,-59
4796,3G,Download,0.25,-67
4797,3G,Download,1.2,-63
4802,3G,Download,0.07,na
4803,3G,Download,0.06,-55
4804,3G,Download,0.12,na
4805,3G,Download,7.07,-85
4829,3G,Download,1.57,-83
4830,3G,Download,4.59,-89
4834,3G,Download,0.02,-97
4835,3G,Download,0.06,-93
4836,3G,Download,0.4,-81
4839,3G,Download,0.19,-67
4840,3G,Download,0.04,-67
4841,3G,Download,0.4,-65
4844,3G,Download,4.05,-63
4845,3G,Download,6.07,-69
4849,3G,Download,0.7,-79
4850,3G,Download,0.33,-81
4854,3G,Download,0.09,-89
4855,3G,Download,0.62,-89
4857,3G,Download,0.61,-75
4858,3G,Download,0.68,-69
4859,3G,Download,1.54,-77
4863,3G,Download,1.02,-87
4867,3G,Download,2.34,-63
4868,3G,Download,2.99,-69
4872,3G,Download,2.72,-85
4873,3G,Download,1.17,-89
4874,3G,Download,3.58,-79
4878,3G,Download,0.51,-69
4882,3G,Upload,1.07,-77
4883,3G,Upload,0.6,-71
4886,3G,Upload,1.18,-65
4887,3G,Upload,1.15,-59
4888,3G,Upload,1.12,-63
4891,3G,Upload,0.22,-95
4894,3G,Upload,0.4,-71
